Event ID,Event Type,Date,Vol_m3,Pick method,fiber,fiber bundle,film,foam,fragment,pellet,sphere,TRWP,Total,Fibers,Non-Fibers,conc_fiber,conc_fiberb,conc_film,conc_foam,conc_frag,conc_pellet,conc_sphere,conc_TRWP,conc_Total,conc_Fiber,conc_NonFiber,Q_rep_cfs,Q_min_cfs,Q_rmax_cfs,Q_rep_cms,Q_min_cms,Q_rmax_cms
BF-4,Dry Flow,2/21/22,23.11,Full Pick,243,3,10,26,62,0,0,22,366,246,120,10.5149286,0.129813933,0.432713111,1.125054089,2.682821289,0,0,0.951968845,15.83729987,10.64474254,5.192557334,2.4,2.4,2.4,0.067960433,0.067960433,0.067960433
DF-1,Dry Flow,6/21/21,35.62,Full Pick,116,1,0,0,160,0,0,72,349,117,232,3.256597417,0.028074116,0,0,4.491858506,0,0,2.021336328,9.797866367,3.284671533,6.513194834,3.6,3.6,3.6,0.101940649,0.101940649,0.101940649
DF-2,Dry Flow,7/19/21,20.59,Full Pick,83,0,3,2,203,0,0,72,363,83,280,4.03108305,0,0.145701797,0.097134531,9.85915493,0,0,3.496843128,17.62991744,4.03108305,13.59883439,1.9,1.9,1.9,0.053802009,0.053802009,0.053802009
DF-3,Dry Flow,9/2/21,23.51,Full Pick,501,3,4,1,142,2,1,288,942,504,438,21.31008082,0.127605274,0.170140366,0.042535091,6.039982986,0.085070183,0.042535091,12.25010634,40.06805615,21.43768609,18.63037006,4.1,3.9,4.2,0.116099073,0.110435703,0.118930757
SF-1,Stormflow,1/23/21,23.9,Sub extrapolated,8540,740,580,260,16450,0,40,1580,28190,9280,18910,357.3221757,30.9623431,24.26778243,10.87866109,688.2845188,0,1.673640167,66.10878661,1179.497908,388.2845188,791.2133891,36,32.5,40,1.019406492,0.920297528,1.13267388
SF-2,Stormflow,1/28/21,0.44,Full Pick + Sub extrapolated,1394,53,43,22,1931,0,41,1077,4561,1447,3114,3168.181818,120.4545455,97.72727273,50,4388.636364,0,93.18181818,2447.727273,10365.90909,3288.636364,7077.272727,357,109.9,631.3,10.10911438,3.112021485,17.87642551
SF-4,Stormflow,3/10/21,1.65,Sub extrapolated,8830,490,320,220,13970,0,100,8120,32050,9320,22730,5351.515152,296.969697,193.9393939,133.3333333,8466.666667,0,60.60606061,4921.212121,19424.24242,5648.484848,13775.75758,260,72.3,482.9,7.36238022,2.047308038,13.67420542
SF-6,Stormflow,3/28/22,4.38,Sub extrapolated,60525,825,850,300,28225,0,50,19725,110500,61350,49150,13818.49315,188.3561644,194.0639269,68.49315068,6444.063927,0,11.41552511,4503.424658,25228.3105,14006.84932,11221.46119,326,132.3,544.8,9.231292122,3.746318858,15.42701825
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
