Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_1,1,black,fragment,Non-Fiber,Blacks,0,0,0,0.349,1.026,0.487,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_2,2,black,fragment,Non-Fiber,Blacks,0,0,0,0.346,0.933,0.828,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_3,3,black,fragment,Non-Fiber,Blacks,0,0,0,0.14,0.653,0.442,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_4,4,blue,fragment,Non-Fiber,Blues,0,0,0,0.081,0.408,0.333,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_5,5,black,fragment,Non-Fiber,Blacks,0,broke into multiple pieces easily.,0,0.137,0.772,0.39,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_7,7,black,fragment,Non-Fiber,Blacks,0,could make dents in the particle.,0,0.127,0.499,0.359,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_9,9,black,fragment,Non-Fiber,Blacks,0,0,0,0.069,0.515,0.317,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_10,10,gray,fragment,Non-Fiber,Blacks,0,0,0,0.096,0.874,0.451,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_11,11,black,fragment,Non-Fiber,Blacks,0,broke into multiple pieces easily.,0,0.091,0.863,0.196,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_13,13,black,fragment,Non-Fiber,Blacks,0,0,0,0.161,0.606,0.453,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_14,14,black,fragment,Non-Fiber,Blacks,0,0,0,0.064,0.51,0.226,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_15,15,black,fragment,Non-Fiber,Blacks,0,0,0,0.059,0.533,0.266,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_16,16,black,fragment,Non-Fiber,Blacks,0,0,0,0.108,0.592,0.489,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_17,17,black,fragment,Non-Fiber,Blacks,0,broke into multiple pieces.,0,0.039,0.545,0.13,0
SAD,1,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_18,18,black,fragment,Non-Fiber,Blacks,0,0,0,0.06,0.495,0.231,0
