Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SAD,1,SF-1,SAD-SF-1-N-1,SAD-SF-1,SAD-SF-1-N-1_S1-5_E_31,31,yellow,fragment,Non-Fiber,Yellows,0,0,0,1.126,4.966,2.247,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-4_B_24,24,blue,fragment,Non-Fiber,Blues,0,0,0,0.276,4.864,0.539,0
SAD,1,SF-1,SAD-SF-1-N-1,SAD-SF-1,SAD-SF-1-N-1_S1-3_B_21,21,clear,film,Non-Fiber,Transparent,0,0,0,0.000295,4.585,0.502,5.025
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-2_G_4,4,clear,fragment,Non-Fiber,Transparent,0,0,0,0.00038,4.517,0.714,4.883
SAD,1,SF-1,SAD-SF-1-N-1,SAD-SF-1,SAD-SF-1-N-1_S1-5_E_29,29,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.000382,4.418,0.569,4.925
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-4_A_4,4,yellow,fragment,Non-Fiber,Yellows,0,0,done,3.315,4.389,0.842,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-5_A_16,16,gray,fragment,Non-Fiber,Blacks,0,"very thin and hard to tell, long piece",done,0.246,4.314,0.717,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-4_D_10,10,gray,fragment,Non-Fiber,Blacks,0,"thin, long and flate particle",done,0.456,4.307,1.36,0
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-1_A_31,31,black,fragment,Non-Fiber,Blacks,0,0,done,2.168,4.284,1.317,0
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-1_B_56,56,black,fragment,Non-Fiber,Blacks,0,"hard surface, can be dented, doesn't bounce back",done,6.878,4.231,2.604,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-4_A_30,30,gray,fragment,Non-Fiber,Blacks,0,0,done,0.284,4.202,1.088,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-2_B_64,64,clear,fragment,Non-Fiber,Transparent,0,0,0,2.138,4.198,0.602,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-3_C_55,55,gray,film,Non-Fiber,Blacks,0,0,0,5.831,4.194,2.195,0
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-4_A_57,57,black,fragment,Non-Fiber,Blacks,0,0,done,0.843,4.124,1.787,0
SAD,1,SF-1,SAD-SF-1-N-1,SAD-SF-1,SAD-SF-1-N-1_S1-4_B_1,1,black,fragment,Non-Fiber,Blacks,0,0,0,0.000381,4.115,0.77,4.671
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-5_E_60,60,gray,fragment,Non-Fiber,Blacks,0,"long and thin piece , can be flattened",done,2.499,4.104,2.225,0
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-4_A_18,18,black,fragment,Non-Fiber,Blacks,0,0,done,1.865,4.02,1.222,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-3_E_33,33,black,fragment,Non-Fiber,Blacks,0,fragment with lots of fibers sticking out,0,5.282,4.008,3.577,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-2_B_28,28,black,fragment,Non-Fiber,Blacks,0,0,0,0.000382,3.988,0.87,4.966
SAD,1,SF-1,SAD-SF-1-N-1,SAD-SF-1,SAD-SF-1-N-1_S1-5_A_4,4,black,TW,Non-Fiber,Blacks,0,0,done,1.99,3.938,0.82,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-5_A_12,12,black,fragment,Non-Fiber,Blacks,0,"hard surface, has many organics on it so hard to tell",done,2.594,3.931,1.882,0
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-2_A_63,63,gray,fragment,Non-Fiber,Blacks,0,"folds and retains its original shape, does not break easily",done,0.299,3.895,0.796,0
SAD,1,SF-1,SAD-SF-1-N-1,SAD-SF-1,SAD-SF-1-N-1_S1-4_A_15,15,black,fragment,Non-Fiber,Blacks,0,0,done,0.000344,3.893,1.77,5.88
SAD,3,SF-1,SAD-SF-1-N-3,SAD-SF-1,SAD-SF-1-N-3_S1-1_A_71,71,gray,fragment,Non-Fiber,Blacks,0,0,done,0.636,3.858,0.912,0
SAD,2,SF-1,SAD-SF-1-N-2,SAD-SF-1,SAD-SF-1-N-2_S1-4_A_25,25,blue,fragment,Non-Fiber,Blues,0,0,done,0.333,3.848,0.561,0
