Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_1,1,red,fragment,Non-Fiber,Reds,0,rubbery texture.,done,0.265,0.833,0.637,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_2,2,red,fragment,Non-Fiber,Reds,0,0,done,0.119,0.583,0.357,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_3,3,white,foam,Non-Fiber,Whites,0,0,done,2.604,3.206,1.369,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_4,4,pink,fragment,Non-Fiber,Reds,0,0,done,0.267,1.081,0.481,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_5,5,white,foam,Non-Fiber,Whites,0,0,done,0.782,1.086,0.977,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_6,6,green,fragment,Non-Fiber,Greens,0,0,done,0.563,1.342,0.869,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_A_7,7,blue,fragment,Non-Fiber,Blues,0,0,done,0.171,0.819,0.332,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_3,3,clear,fragment,Non-Fiber,Transparent,0,0,done,0.189,0.872,0.424,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_4,4,blue,fragment,Non-Fiber,Blues,0,0,done,0.069,0.69,0.315,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_5,5,gray,fragment,Non-Fiber,Blacks,0,0,done,0.66,1.853,0.762,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_6,6,clear,fragment,Non-Fiber,Transparent,0,0,done,0.26,0.779,0.651,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_7,7,black,fragment,Non-Fiber,Blacks,0,0,done,0.168,0.964,0.327,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_8,8,blue,fragment,Non-Fiber,Blues,0,0,done,0.084,0.505,0.315,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_13,13,white,foam,Non-Fiber,Whites,0,0,done,0.102,0.536,0.299,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_22,22,blue,fragment,Non-Fiber,Blues,0,0,done,0.144,3.02,0.639,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_31,31,blue,fragment,Non-Fiber,Blues,0,0,done,0.133,0.826,0.336,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_32,32,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.077,0.754,0.336,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_36,36,blue,fragment,Non-Fiber,Blues,0,0,done,0.09,0.636,0.274,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_40,40,pink,fragment,Non-Fiber,Reds,0,0,done,0.125,0.836,0.394,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_44,44,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back, could make dents.",done,0.082,0.708,0.368,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_1,1,black,fragment,Non-Fiber,Blacks,0,0,done,0.036,1.307,0.31,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_7,7,green,fragment,Non-Fiber,Greens,0,0,done,0.023,0.777,0.183,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_12,12,black,fragment,Non-Fiber,Blacks,0,0,done,0.043,1.771,0.498,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_13,13,yellow,fragment,Non-Fiber,Yellows,0,looks like a neuron-y structure.,done,0.06,0.717,0.507,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_16,16,black,fragment,Non-Fiber,Blacks,0,0,done,0.078,0.559,0.486,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_19,19,green,fragment,Non-Fiber,Greens,0,0,done,0.125,1.674,0.324,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_21,21,black,TRWP,Non-Fiber,Blacks,0,"bounces back, could make dents.",done,0.256,1.12,0.464,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_28,28,green,fragment,Non-Fiber,Greens,0,0,done,0.124,1.623,0.474,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_33,33,blue,fragment,Non-Fiber,Blues,0,0,done,0.068,0.436,0.272,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_37,37,green,fragment,Non-Fiber,Greens,0,0,done,0.121,0.509,0.358,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_38,38,green,fragment,Non-Fiber,Greens,0,0,done,0.081,0.475,0.264,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_44,44,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back, could make dents.",done,0.107,0.55,0.366,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_1,1,white,fragment,Non-Fiber,Whites,0,0,done,0.895,1.888,1.353,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_2,2,clear,fragment,Non-Fiber,Transparent,0,black part of particle is rubbery while gray part of particle is hard.,done,0.369,1.525,0.88,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_3,3,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back, could make dents.",done,0.118,0.662,0.436,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_4,4,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back, could make dents.",done,0.09,1.011,0.652,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_5,5,black,fragment,Non-Fiber,Blacks,0,broke into multiple pieces.,done,0.137,0.707,0.437,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_6,6,blue,fragment,Non-Fiber,Blues,0,0,done,0.038,0.338,0.184,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_7,7,green,fragment,Non-Fiber,Greens,0,0,done,0.078,0.414,0.335,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_9,9,blue,fragment,Non-Fiber,Blues,0,0,done,0.149,0.951,0.31,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_10,10,clear,fragment,Non-Fiber,Transparent,0,0,done,0.238,0.948,0.756,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_13,13,gray,fragment,Non-Fiber,Blacks,0,0,done,0.117,0.505,0.321,0
SDC,1,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_17,17,black,fragment,Non-Fiber,Blacks,0,0,done,0.106,1.165,0.721,0
