Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_1,1,clear,fragment,Non-Fiber,Transparent,0,0,0,0.08,0.525,0.318,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_2,2,blue,fragment,Non-Fiber,Blues,0,0,0,0.412,1.354,0.631,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_4,4,black,fragment,Non-Fiber,Blacks,0,0,done,3.157,2.644,2.074,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_5,5,black,fragment,Non-Fiber,Blacks,0,could make dents in the particle.,done,0.148,0.59,0.39,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_6,6,black,fragment,Non-Fiber,Blacks,0,0,0,0.234,1.156,0.417,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_7,7,white,foam,Non-Fiber,Whites,0,"not styrofoam,but broken down foam.",0,0.535,1.051,0.851,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_8,8,black,fragment,Non-Fiber,Blacks,0,0,0,0.071,0.561,0.233,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_10,10,green,fragment,Non-Fiber,Greens,0,0,0,0.075,0.686,0.287,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_12,12,gray,fragment,Non-Fiber,Blacks,0,0,done,0.044,1.107,0.283,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_15,15,gray,fragment,Non-Fiber,Blacks,0,0,0,0.042,0.606,0.203,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_16,16,clear,fragment,Non-Fiber,Transparent,0,0,0,0.364,1.812,0.848,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_17,17,gray,fragment,Non-Fiber,Blacks,0,0,0,0.067,0.404,0.352,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_18,18,black,fragment,Non-Fiber,Blacks,0,0,0,0.17,0.822,0.542,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_19,19,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.139,0.529,0.468,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_20,20,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.139,0.583,0.422,0
SDC,1,DF-1,SDC-DF-1-N-1,SDC-DF-1,SDC-DF-1-N-1_S0-0_A_21,21,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.115,0.575,0.366,0
