Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_1,1,blue,fragment,Non-Fiber,Blues,0,0,0,1.237,1.919,0.925,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_2,2,black,fragment,Non-Fiber,Blacks,0,0,0,0.188,0.755,0.475,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_3,3,green,fragment,Non-Fiber,Greens,0,0,0,0.505,1.385,0.655,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_4,4,white,fragment,Non-Fiber,Whites,0,0,0,0.394,1.373,0.431,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_5,5,blue,fragment,Non-Fiber,Blues,0,0,0,0.576,1.523,0.721,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_6,6,clear,fragment,Non-Fiber,Transparent,0,0,done,0.351,0.907,0.712,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_7,7,orange,fragment,Non-Fiber,Yellows,0,0,0,0.098,0.862,0.343,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_8,8,black,fragment,Non-Fiber,Blacks,0,0,0,0.161,0.639,0.401,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_9,9,blue,fragment,Non-Fiber,Blues,0,0,0,0.079,0.517,0.252,0
SDC,1,SF-3,SDC-SF-3-N-1,SDC-SF-3,SDC-SF-3-N-1_S0-0_A_10,10,black,fragment,Non-Fiber,Blacks,0,0,0,0.176,0.906,0.428,0
