Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SAD,1,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_E_4,4,blue,fragment,Non-Fiber,Blues,0,0,done,0.035,0.361,0.182,0
SAD,1,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_E_5,5,black,TW,Non-Fiber,Blacks,0,0,done,0.022,0.368,0.119,0
SAD,2,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_B_16,16,green,film,Non-Fiber,Greens,0,same as 13-16,done,0.086,0.395,0.306,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_C_31,31,black,TW,Non-Fiber,Blacks,0,0,done,0.09,0.441,0.346,0
SAD,2,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_D_2,2,black,TW,Non-Fiber,Blacks,0,0,done,0.1,0.456,0.347,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_A_4,4,red,fragment,Non-Fiber,Reds,0,0,done,0.112,0.5,0.316,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_B_12,12,black,TW,Non-Fiber,Blacks,0,very small,done,0.066,0.514,0.278,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_C_24,24,black,TW,Non-Fiber,Blacks,0,0,done,0.116,0.526,0.369,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_B_17,17,blue,fragment,Non-Fiber,Blues,0,0,done,0.129,0.532,0.351,0
SAD,1,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_5,5,clear,fragment,Non-Fiber,Transparent,0,flat,done,0.006,0.585,0.131,0.659
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_A_14,14,black,TW,Non-Fiber,Blacks,0,0,done,0.21,0.598,0.48,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_A_23,23,black,TW,Non-Fiber,Blacks,0,very small,done,0.046,0.611,0.135,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_C_23,23,black,TW,Non-Fiber,Blacks,0,0,done,0.124,0.613,0.33,0
SAD,2,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_C_24,24,black,TW,Non-Fiber,Blacks,0,cacked,done,0.172,0.624,0.435,0
SAD,1,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_B_34,34,black,TW,Non-Fiber,Blacks,0,0,done,0.153,0.635,0.411,0
SAD,2,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_B_32,32,black,fragment,Non-Fiber,Blacks,0,rubber?,done,0.157,0.636,0.396,0
SAD,3,BF-4,SAD-BF-4-N-3,SAD-BF-4,SAD-BF-4-N-3_S0-0_D_15,15,black,fragment,Non-Fiber,Blacks,0,same as 14,done,0.15,0.636,0.351,0
SAD,2,BF-4,SAD-BF-4-N-2,SAD-BF-4,SAD-BF-4-N-2_S0-0_C_26,26,black,TW,Non-Fiber,Blacks,0,bouncy,done,0.188,0.651,0.435,0
