Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_5,5,brown,fragment,Non-Fiber,Blacks,0,0,0,0.000254,2.695,0.515,3.003,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_6,6,green,fragment,Non-Fiber,Greens,0,0,0,0.698,1.673,0.646,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_8,8,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.128,0.715,0.271,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_9,9,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.413,0.952,0.667,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_11,11,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.329,0.83,0.673,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_13,13,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.632,1.324,0.875,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_14,14,white,fragment,Non-Fiber,Whites,0,0,0,0.000191,1.197,0.444,1.618,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_15,15,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back, could make dents.",0,0.304,0.93,0.535,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_16,16,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.241,0.652,0.548,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_17,17,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.244,0.761,0.471,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_18,18,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back, could make dents.",0,0.544,1.16,0.83,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_19,19,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.422,1.056,0.709,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_20,20,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.178,0.562,0.434,0,All
SAD,1,SF-2,SAD-SF-2-N-1,SAD-SF-2,SAD-SF-2-N-1_S0-0_A_21,21,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.349,1.128,0.552,0,All
