Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_3,3,white,fragment,Non-Fiber,Whites,0,0,0,0.071,0.5,0.387,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_6,6,black,fragment,Non-Fiber,Blacks,0,0,0,0.141,0.703,0.324,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_7,7,white,foam,Non-Fiber,Whites,0,"not styrofoam, but broken down foam.",0,0.196,0.76,0.616,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_8,8,gray,fragment,Non-Fiber,Blacks,0,0,0,0.103,0.732,0.415,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_9,9,black,fragment,Non-Fiber,Blacks,0,0,0,0.25,1.202,0.823,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_11,11,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.074,0.461,0.284,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_12,12,white,fragment,Non-Fiber,Whites,0,0,0,0.222,1.683,0.842,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_17,17,black,fragment,Non-Fiber,Blacks,0,0,0,0.268,1.605,0.657,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_18,18,black,fragment,Non-Fiber,Blacks,0,0,0,0.172,0.77,0.467,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_19,19,orange,fragment,Non-Fiber,Yellows,0,0,0,1.524,1.817,1.158,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_20,20,white,foam,Non-Fiber,Whites,0,"not styrofoam, but broken foam.",0,0.934,1.48,0.947,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_21,21,black,fragment,Non-Fiber,Blacks,0,0,0,0.051,0.416,0.224,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_25,25,gray,fragment,Non-Fiber,Blacks,0,has a spiky appearance with fiber-like edges around the particle.,0,0.926,2.118,1.275,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_29,29,pink,fragment,Non-Fiber,Reds,0,0,0,0.204,3.016,1.391,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_35,35,black,fragment,Non-Fiber,Blacks,0,0,0,0.275,1.161,0.582,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_43,43,black,fragment,Non-Fiber,Blacks,0,broke into multiple pieces.,0,0.065,0.927,0.273,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_45,45,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.16,0.9,0.546,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_50,50,white,fragment,Non-Fiber,Whites,0,0,0,0.948,2.745,1.117,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_52,52,black,fragment,Non-Fiber,Blacks,0,0,0,0.12,1.085,0.472,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_53,53,black,TRWP,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",0,0.168,0.73,0.39,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_55,55,green,fragment,Non-Fiber,Greens,0,0,0,0.127,0.735,0.355,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_58,58,black,fragment,Non-Fiber,Blacks,0,0,0,0.163,0.907,0.49,0
SDC,1,DF-2,SDC-DF-2-N-1,SDC-DF-2,SDC-DF-2-N-1_S0-0_A_59,59,white,foam,Non-Fiber,Whites,0,"not styrofoam, but broken down foam.",0,0.326,0.799,0.531,0
SDC,2,DF-2,SDC-DF-2-N-2,SDC-DF-2,SDC-DF-2-N-2_S0-0_A_1,1,white,fragment,Non-Fiber,Whites,0,0,0,0.379,0.963,0.76,0
SDC,2,DF-2,SDC-DF-2-N-2,SDC-DF-2,SDC-DF-2-N-2_S0-0_A_4,4,white,foam,Non-Fiber,Whites,0,0,0,1.502,2.654,1.255,0
SDC,2,DF-2,SDC-DF-2-N-2,SDC-DF-2,SDC-DF-2-N-2_S0-0_A_6,6,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.098,0.568,0.302,0
SDC,2,DF-2,SDC-DF-2-N-2,SDC-DF-2,SDC-DF-2-N-2_S0-0_A_7,7,green,fragment,Non-Fiber,Greens,0,0,0,0.258,1.902,0.501,0
