Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,filter
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_1,1,green,fragment,Non-Fiber,Greens,0,0,0,0.66,1.298,1.07,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_2,2,green,fragment,Non-Fiber,Greens,0,0,0,0.537,1.205,0.753,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_3,3,blue,fragment,Non-Fiber,Blues,0,0,0,0.19,1.166,0.324,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_4,4,blue,fragment,Non-Fiber,Blues,0,0,0,0.155,0.981,0.24,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_5,5,blue,fragment,Non-Fiber,Blues,0,0,done,0.232,0.808,0.529,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_6,6,pink,fragment,Non-Fiber,Reds,0,0,0,0.34,1.244,0.653,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_8,8,black,fragment,Non-Fiber,Blacks,0,0,0,0.122,0.691,0.577,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_10,10,pink,fragment,Non-Fiber,Reds,0,"can make a dent within the sample, like wax.",0,4.251,4.184,1.766,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_11,11,yellow,fragment,Non-Fiber,Yellows,0,0,0,0.131,0.51,0.373,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_12,12,blue,fragment,Non-Fiber,Blues,0,0,0,0.263,0.915,0.51,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_13,13,blue,fragment,Non-Fiber,Blues,0,0,0,0.17,0.693,0.489,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_14,14,green,fragment,Non-Fiber,Greens,0,0,0,0.208,0.959,0.58,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_16,16,blue,fragment,Non-Fiber,Blues,0,0,0,0.031,0.598,0.269,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_18,18,green,fragment,Non-Fiber,Greens,0,0,0,0.253,0.733,0.533,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_19,19,black,fragment,Non-Fiber,Blacks,0,could be dented,done,0.196,0.822,0.491,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_21,21,pink,fragment,Non-Fiber,Reds,0,0,0,0.07,1.363,0.223,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_23,23,white,fragment,Non-Fiber,Whites,0,smaller pieces fall off when pressure is put on the sample.,0,0.552,1.19,0.817,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_24,24,black,fragment,Non-Fiber,Blacks,0,could be dented,done,0.95,1.694,0.788,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_25,25,blue,fragment,Non-Fiber,Blues,0,0,0,0.334,1.738,0.405,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_26,26,blue,fragment,Non-Fiber,Blues,0,0,0,0.12,0.721,0.521,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_27,27,orange,fragment,Non-Fiber,Yellows,0,0,0,0.788,2.472,0.957,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_28,28,black,fragment,Non-Fiber,Blacks,0,0,0,1.213,2.476,1.102,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_29,29,blue,fragment,Non-Fiber,Blues,0,0,0,0.137,0.653,0.32,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_31,31,white,fragment,Non-Fiber,Whites,0,has a gray fiber attached to it.,0,0.358,2.003,1.052,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_32,32,blue,fragment,Non-Fiber,Blues,0,0,0,0.388,0.989,0.741,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_33,33,blue,fragment,Non-Fiber,Blues,0,0,0,0.046,0.721,0.114,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_34,34,blue,fragment,Non-Fiber,Blues,0,0,0,0.211,0.65,0.495,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_35,35,pink,fragment,Non-Fiber,Reds,0,0,0,0.115,0.726,0.272,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_37,37,black,fragment,Non-Fiber,Blacks,0,0,0,0.092,0.472,0.305,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_39,39,black,fragment,Non-Fiber,Blacks,0,dent could be made in the sample.,done,2.076,2.213,1.479,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_40,40,blue,fragment,Non-Fiber,Blues,0,0,0,0.054,0.383,0.213,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_41,41,blue,fragment,Non-Fiber,Blues,0,0,0,0.28,1.175,0.608,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_42,42,white,fragment,Non-Fiber,Whites,0,0,0,8.958,3.729,3.278,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_43,43,green,fragment,Non-Fiber,Greens,0,0,0,0.354,0.932,0.645,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_45,45,white,fragment,Non-Fiber,Whites,0,0,0,2.113,2.416,1.182,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_46,46,green,fragment,Non-Fiber,Greens,0,0,0,0.109,1.164,0.292,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_48,48,blue,fragment,Non-Fiber,Blues,0,0,0,0.128,0.731,0.467,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_49,49,black,fragment,Non-Fiber,Blacks,0,0,0,0.189,0.855,0.398,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_A_50,50,clear,fragment,Non-Fiber,Transparent,0,0,0,0.087,0.42,0.276,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_1,1,green,fragment,Non-Fiber,Greens,0,0,0,1.213,2.241,1.207,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_2,2,green,fragment,Non-Fiber,Greens,0,0,0,0.486,1.223,0.954,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_3,3,black,TW,Non-Fiber,Blacks,0,"rubbery texture, made a dent in the sample.",done,0.158,0.69,0.359,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_5,5,pink,fragment,Non-Fiber,Reds,0,0,0,0.205,0.817,0.597,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_6,6,white,fragment,Non-Fiber,Whites,0,"broke easily, has fibers as spikes around the sample.",done,0.655,1.504,0.891,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_7,7,green,fragment,Non-Fiber,Greens,0,0,0,0.196,0.818,0.474,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_8,8,black,fragment,Non-Fiber,Blacks,0,0,0,0.056,0.5,0.181,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_10,10,black,TW,Non-Fiber,Blacks,0,rubbery texture.,done,0.571,1.805,0.543,0,All
SDC,1,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_11,11,blue,fragment,Non-Fiber,Blues,0,0,0,0.178,1.374,0.373,0,All
