Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length
SDC,1,SF-5,SDC-SF-5-N-1,SDC-SF-5,SDC-SF-5-N-1_S0-0_A_1,1,green,fragment,Non-Fiber,Greens,0,has a vertical striped pattern.,done,0.764,1.726,0.705,0
SDC,1,SF-5,SDC-SF-5-N-1,SDC-SF-5,SDC-SF-5-N-1_S0-0_A_3,3,white,fragment,Non-Fiber,Whites,0,particle could be flattened out.,done,0.074,0.444,0.221,0
SDC,1,SF-5,SDC-SF-5-N-1,SDC-SF-5,SDC-SF-5-N-1_S0-0_A_4,4,white,fragment,Non-Fiber,Whites,0,0,done,0.112,0.628,0.313,0
SDC,1,SF-5,SDC-SF-5-N-1,SDC-SF-5,SDC-SF-5-N-1_S0-0_A_5,5,clear,fragment,Non-Fiber,Transparent,0,0,done,0.124,0.536,0.382,0
SDC,1,SF-5,SDC-SF-5-N-1,SDC-SF-5,SDC-SF-5-N-1_S0-0_A_8,8,clear,fragment,Non-Fiber,Transparent,0,flat,done,0.521,1.617,0.535,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_A_3,3,clear,fragment,Non-Fiber,Transparent,0,0,done,0.212,0.8,0.44,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_A_5,5,black,fragment,Non-Fiber,Blacks,0,"could be a fragment, really thick string and the ends look like foam.",done,3.918,3.77,1.627,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_11,11,green,fragment,Non-Fiber,Greens,0,0,done,0.191,1.069,0.419,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_22,22,white,fragment,Non-Fiber,Whites,0,0,done,0.425,1.017,0.823,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_24,24,brown,fragment,Non-Fiber,Blacks,0,0,done,0.085,0.436,0.276,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_34,34,black,TW,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.212,0.606,0.514,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_41,41,black,fragment,Non-Fiber,Blacks,0,0,done,0.131,0.716,0.291,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_44,44,green,fragment,Non-Fiber,Greens,0,0,done,0.081,0.475,0.289,0
SDC,2,SF-5,SDC-SF-5-N-2,SDC-SF-5,SDC-SF-5-N-2_S0-0_B_46,46,brown,fragment,Non-Fiber,Blacks,0,0,done,0.114,0.504,0.339,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_1,1,blue,fragment,Non-Fiber,Blues,0,an organic is attached to the particle.,done,0.109,0.618,0.327,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_4,4,green,fragment,Non-Fiber,Greens,0,0,done,0.499,1.061,0.648,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_7,7,white,fragment,Non-Fiber,Whites,0,0,done,0.817,1.885,0.711,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_10,10,black,fragment,Non-Fiber,Blacks,0,0,done,0.098,1.098,0.196,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_11,11,blue,fragment,Non-Fiber,Blues,0,0,done,0.526,2.135,1.169,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_A_12,12,gray,fragment,Non-Fiber,Blacks,0,0,done,0.183,2.059,0.165,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_7,7,blue,fragment,Non-Fiber,Blues,0,0,done,0.051,0.377,0.247,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_9,9,black,TW,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.223,1.023,0.403,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_11,11,black,fragment,Non-Fiber,Blacks,0,0,done,0.087,0.585,0.48,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_12,12,black,TW,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.145,0.49,0.444,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_16,16,green,fragment,Non-Fiber,Greens,0,0,done,0.399,2.137,0.31,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_18,18,black,TW,Non-Fiber,Blacks,0,"rubbery texture, bounces back.",done,0.279,0.889,0.454,0
SDC,3,SF-5,SDC-SF-5-N-3,SDC-SF-5,SDC-SF-5-N-3_S0-0_B_19,19,pink,fragment,Non-Fiber,Reds,0,0,done,0.048,0.794,0.349,0
