Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_10,10,clear,fiber,Fiber,Transparent,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_26,26,red,fiber,Fiber,Red,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_1,1,green,fragment,Non-Fiber,Green,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_22,22,blue,fiber,Fiber,Blue,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_21,21,clear,fiber,Fiber,Transparent,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_5,5,black,fragment,Non-Fiber,Black,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_36,36,blue,fiber,Fiber,Blue,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_28,28,red,fiber,Fiber,Red,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_8,8,green,fragment,Non-Fiber,Green,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_31,31,red,fiber,Fiber,Red,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_9,9,black,fiber,Fiber,Black,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_24,24,blue,fiber,Fiber,Blue,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_19,19,blue,fiber,Fiber,Blue,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_4,4,green,fiber,Fiber,Green,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_3,3,blue,fragment,Non-Fiber,Blue,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_7,7,blue,fragment,Non-Fiber,Blue,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_16,16,green,fragment,Non-Fiber,Green,0,crumbles,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_23,23,green,fragment,Non-Fiber,Green,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_42,42,red,fiber,Fiber,Red,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_18,18,green,fragment,Non-Fiber,Green,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_37,37,black,fiber,Fiber,Black,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_30,30,black,fiber,Fiber,Black,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_11,11,green,fragment,Non-Fiber,Green,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_27,27,red,fiber,Fiber,Red,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_25,25,black,fiber,Fiber,Black,0,0,done,,,,,sub
SDC,2,SF-6,SDC-SF-6-N-2,SDC-SF-6,SDC-SF-6-N-2_S1-1_A_39,39,black,fiber,Fiber,Black,0,0,done,,,,,sub
