Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_1,1,purple,fragment,Non-Fiber,Blues,0,particle scraped looks like wax.,0,2.201,2.525,1.528,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_10,10,white,fragment,Non-Fiber,Whites,0,"broke into multiple pieces easily, a orange organic is attached to the particle.",0,3.264,2.588,2.265,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_11,11,blue,fragment,Non-Fiber,Blues,0,0,0,1.034,1.842,0.94,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_12,12,black,fragment,Non-Fiber,Blacks,0,0,0,3.285,2.774,1.781,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_13,13,black,foam,Non-Fiber,Blacks,0,could be compressed.,0,2.107,2.185,1.72,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_14,14,black,foam,Non-Fiber,Blacks,0,multiple pieces come off of the particle when scraped off.,0,2.828,3.361,2.209,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_2,2,black,fragment,Non-Fiber,Blacks,0,"bounces back slowly, could make dents in the particle.",0,0.64,1.435,0.717,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_3,3,orange,fragment,Non-Fiber,Yellows,0,0,0,1.506,4.586,1.074,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_4,4,green,fragment,Non-Fiber,Greens,0,0,0,0.882,1.955,0.901,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_6,6,green,fragment,Non-Fiber,Greens,0,0,0,0.56,2.308,0.838,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_7,7,black,fragment,Non-Fiber,Blacks,0,hard texture.,0,5.886,4.707,1.97,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_8,8,white,fragment,Non-Fiber,Whites,0,broke into multiple pieces easily.,0,9.578,4.504,3.515,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_A_9,9,black,fragment,Non-Fiber,Blacks,0,"could make dents in the particle, black fiber and white organics attached to the particle.",0,2.737,2.667,1.686,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-1_B_1,1,gray,film,Non-Fiber,Blacks,0,0,0,0.895,2.593,0.786,0,sub
