,X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length..microns.,Width..microns.,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.,Height..microns.,a,b,c,CSF,Deqi,water.density,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1,1,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_13,13,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.498,1.178,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,570,11.78,570,290.89,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,117.8,1178,647.9,290.89,0.001178,0.00057,0.00029089,0.354992125,0.000580207,998,1450,0.032983311,2.37865636,1290,0.025377036,1.830114891,1610,0.039560524,2.852985059
2,2,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_23,23,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents in the particle.",0,0.901,1.405,0.947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,947,14.05,1405,709.525,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,140.5,1405,772.75,709.525,0.001405,0.000947,0.000709525,0.615112497,0.00098099,998,1450,0.069823416,5.035453103,1290,0.053721452,3.874228268,1610,0.083746928,6.039574572
3,3,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_38,38,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.204,0.826,0.458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,458,8.26,826,417.13,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,82.6,826,454.3,417.13,0.000826,0.000458,0.00041713,0.678185754,0.000540388,998,1450,0.045948395,3.313658954,1290,0.035352245,2.549496723,1610,0.055110981,3.974436848
4,4,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_A_39,39,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.204,0.874,0.468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,468,8.74,874,441.37,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,87.4,874,480.7,441.37,0.000874,0.000468,0.00044137,0.690119292,0.00056518,998,1450,0.048128296,3.470866823,1290,0.03702944,2.670450917,1610,0.057725577,4.162993593
5,5,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_6,6,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.096,0.572,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,374,5.72,572,288.86,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,57.2,572,314.6,288.86,0.000572,0.000374,0.00028886,0.624530412,0.000395353,998,1450,0.034057816,2.456146432,1290,0.02620375,1.889734993,1610,0.040849297,2.945927453
6,6,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_8,8,black,Non-Fiber,Black,0,"rubbery texture, bounces back, breaks apart easily.",done,0.093,0.568,0.231,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,231,5.68,231,118.34,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,56.8,568,312.4,118.34,0.000568,0.000231,0.00011834,0.32670171,0.000249477,998,1450,0.015973937,1.151991928,1290,0.012290191,0.886331299,1610,0.019159306,1.381711043
7,7,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_11,11,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.236,0.94,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,370,9.4,370,189.7,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,94,940,517,189.7,0.00094,0.00037,0.0001897,0.321664062,0.000404078,998,1450,0.023276124,1.678603501,1290,0.017908422,1.291501082,1610,0.027917624,2.013334413
8,8,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_12,12,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.461,1.138,0.615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,615,11.38,1138,574.69,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,113.8,1138,625.9,574.69,0.001138,0.000615,0.00057469,0.686949721,0.00073816,998,1450,0.059425367,4.285577296,1290,0.045721295,3.297281171,1610,0.0712754,5.140165767
9,9,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_14,14,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,3.857,2.92,1.838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1838,29.2,2920,1474.6,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,292,2920,1606,1474.6,0.00292,0.001838,0.0014746,0.636517063,0.001992818,998,1450,0.125648319,9.061375838,1290,0.096672585,6.971733764,1610,0.150703895,10.86830797
10,10,tire wear,rubbery fragment,tire wear,TRWP,SAD,Low Flow,1,RB,Outside Thalweg_1,0.245,DF-1,SAD-DF-1-N-1,SAD-DF-1,SAD-DF-1-N-1_S0-0_B_15,15,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",0,0.109,0.463,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,358,4.63,463,233.815,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,46.3,463,254.65,233.815,0.000463,0.000358,0.000233815,0.574302042,0.000338412,998,1450,0.028598102,2.062408435,1290,0.0220031,1.586796838,1610,0.03430086,2.473674025
