"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","polymer","plastic_or_not","Length..microns.","Width..microns.","material.1","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1",1,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_9",9,"pink","Fiber","Red",0,"0","done",0.0003004,4.444,0.528,4.444,"Y","SDC-BF-1-N-1_A_9.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",4444,528,NA,4.444,528,266.222,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,4.444,2222,1113.222,266.222,0.004444,0.000528,0.000266222,0.173796071485222,0.000266222,998,1450,0.452905811623247,4.37659381286636,NA,0.0269488197837095,7.17436870045871,2.17160123022754,0.0269488197837095,0.002,9.81,0.0615358432135288,1.09484238682638,1.09484238682638
"2",2,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_12",12,"black","Fiber","Black",0,"0","done",0.11,1.909,0.693,0,"Y","SDC-BF-1-N-1_A_12.SPA","Y",0.9,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1909,693,NA,1.909,954.5,478.2045,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.909,954.5,478.2045,478.2045,0.001909,0.000693,0.0004782045,0.415761314673721,0.0004782045,998,1450,0.452905811623247,7.86150977749716,NA,0.0407003583927242,19.4630945350135,1.71014458327435,0.0407003583927242,0.002,9.81,0.0615358432135288,1.65352241341255,1.65352241341255
"3",3,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_22",22,"blue","Fiber","Blue",0,"0","done",0.123,1.508,0.83,0,"Y","SDC-BF-1-N-1_A_22.SPA","Y",0.8,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1508,830,NA,1.508,754,377.754,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.508,754,377.754,377.754,0.001508,0.00083,0.000377754,0.337652021986849,0.000377754,998,1450,0.452905811623247,6.21013972994537,NA,0.0344681744727433,13.0204907797767,1.88359766771237,0.0344681744727433,0.002,9.81,0.0615358432135288,1.40032916885282,1.40032916885282
"4",4,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_27",27,"blue","Fiber","Blue",0,"0","done",0.162,4.107,0.895,0,"Y","SDC-BF-1-N-1_A_27.SPA","Y",1,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",4107,895,NA,4.107,895,449.5535,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,4.107,2053.5,1028.8035,449.5535,0.004107,0.000895,0.0004495535,0.234480922546401,0.0004495535,998,1450,0.452905811623247,7.39049765478591,NA,0.0410829820916254,18.4689983897275,1.5778768350291,0.0410829820916254,0.002,9.81,0.0615358432135288,1.66906716257498,1.66906716257498
"5",5,"PE","fiber","POLY(ETHYLENE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_A_4",4,"green","Fiber","Green",0,"0","done",0.0006008,8.94,2.366,8.94,"Y","SDC-BF-1-N-2_A_4.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",8940,2366,NA,8.94,4470,2239.47,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,8.94,4470,2239.47,2239.47,0.00894,0.002366,0.00223947,0.486932900531081,0.00223947,998,1010,0.0120240480961924,10.9829368472064,NA,0.0153227019743497,34.3147313904969,1.5001441350538,0.0153227019743497,0.002,9.81,0.0626418390534633,0.611520279651756,0.611520279651756
"6",6,"PP","fiber","POLY(PROPYLENE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_20",20,"black","Fiber","Black",0,"0","done",0.0001888,2.088,0.371,2.088,"Y","SDC-BF-1-N-1_B_20.SPA","Y",0.9,"PP 8. White Toothbrush Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",2088,371,NA,2.088,371,186.544,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,2.088,1044,523.044,186.544,0.002088,0.000371,0.000186544,0.211947882962717,0.000186544,998,1000,0.00200400801603218,0.50346672460081,NA,0.000574446333174352,0.107159516775676,14.8179989667087,0.000574446333174352,0.002,9.81,0.0615358432135288,0.0233378752599939,0.0233378752599939
"7",7,"PP","fiber","POLY(PROPYLENE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_B_31",31,"gray","Fiber","Black",0,"0","done",0.188,3.14,0.987,0,"Y","SDC-BF-1-N-3_B_31.SPA","Y",0.9,"PP 19. White Fiber","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",3140,987,NA,3.14,1570,786.57,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,3.14,1570,786.57,786.57,0.00314,0.000987,0.00078657,0.446800836885905,0.00078657,998,1000,0.00200400801603218,2.12288694125385,NA,0.00220610307160698,1.7352544930339,4.23636116361292,0.00220610307160698,0.002,9.81,0.0615358432135288,0.0896267507033188,0.0896267507033188
"8",8,"PP","fiber","POLY(PROPYLENE)","fiber","SDC","Low Flow","3","LB","Outside Thalweg_2",0.205,"BF-3","SDC-BF-3-N-3","SDC-BF-3","SDC-BF-3-N-3_S0-0_A_13",13,"red","Fiber","Red",0,"0","done",0.178,2.078,0.19,0,"Y","SDC-BF-3-N-3_A_13.SPA","Y",0.9,"PP 48. Brown Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",2078,190,NA,2.078,190,96.039,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,2.078,1039,520.539,96.039,0.002078,0.00019,9.6039e-05,0.152843881186355,9.6039e-05,998,1000,0.00200400801603218,0.259201264923756,NA,0.000299226268186243,0.0287373915703386,28.1161204471057,0.000299226268186243,0.002,9.81,0.0634200283822075,0.0117954168351567,0.0117954168351567
"9",9,"Polyesters","fiber","POLYESTERS","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_A_3",3,"black","Fiber","Black",0,"0","0",0.024,2.532,0.555,2.532,"Y","SDC-BF-4-N-1_S0-0_A_3.SPA","Y",0.7,"PEST","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYESTERS","0","plastic",2532,555,NA,2.532,555,278.766,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,2.532,1266,634.266,278.766,0.002532,0.000555,0.000278766,0.23515892230488,0.000278766,998,1010,0.0120240480961924,1.36714015956827,NA,0.00273304580093967,0.761880245744749,5.86954494773608,0.00273304580093967,0.002,9.81,0.0542494239600754,0.125948148451818,0.125948148451818
"10",10,"PET","fiber","POLY(ETHYLENE TEREPHTHALATE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_A_7",7,"black","Fiber","Black",0,"0","0",0.018,1.998,0.501,1.998,"Y","SDC-BF-4-N-1_S0-0_A_7.SPA","Y",0.7,"PET.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyterephthalates","POLY(ETHYLENE TEREPHTHALATE)","plastic",1998,501,NA,1.998,999,500.499,1.45e-09,1.44e-09,1.46e-09,1.44e-09,1.46e-09,1.998,999,500.499,500.499,0.001998,0.000501,0.000500499,0.500249437780794,0.000500499,998,1450,0.452905811623247,8.22802332919818,NA,0.0412613964966919,20.6512876851978,1.74153018536119,0.0412613964966919,0.002,9.81,0.0542494239600754,1.90146703341302,1.90146703341302
"11",11,"PP","fiber","POLY(PROPYLENE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_B_13",13,"blue","Fiber","Blue",0,"0","0",0.022,2.741,0.638,2.741,"Y","SDC-BF-4-N-1_S0-0_B_13.SPA","Y",0.8,"PP 9. White Fork Fragment","FLOPP, De Frond et al. 2021","0","TRANSMITTANCE","0","Polymers","Polyolefins (POLYALKENES)","POLY(PROPYLENE)","plastic",2741,638,NA,2.741,638,320.3705,1e-09,9.98e-10,1e-09,9.99e-10,1e-09,2.741,1370.5,686.6205,320.3705,0.002741,0.000638,0.0003203705,0.242263318528186,0.0003203705,998,1000,0.00200400801603218,0.864653305888818,NA,0.000970130464419674,0.310801181951363,8.92276452656298,0.000970130464419674,0.002,9.81,0.0542494239600754,0.0447069477241656,0.0447069477241656
"12",12,"Polyesters","fiber","POLYESTERS","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_B_15",15,"red","Fiber","Red",0,"0","0",0.016,2.053,0.523,2.053,"Y","SDC-BF-4-N-1_S0-0_B_15.SPA","Y",0.8,"PEST","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","POLYESTERS","0","plastic",2053,523,NA,2.053,1026.5,514.2765,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,2.053,1026.5,514.2765,514.2765,0.002053,0.000523,0.0005142765,0.496308096907001,0.0005142765,998,1010,0.0120240480961924,2.52214422229472,NA,0.00464756925410187,2.39013564950712,3.74458237100039,0.00464756925410187,0.002,9.81,0.0542494239600754,0.214175972519184,0.214175972519184
"13",13,"PE","fiber","POLY(ETHYLENE)","fiber","SDC","Low Flow","1","RB","Outside Thalweg_1",0.15,"BF-4","SDC-BF-4-N-1","SDC-BF-4","SDC-BF-4-N-1_S0-0_B_17",17,"gray","Fiber","Black",0,"0","0",10.082,8.282,4.239,0,"Y","SDC-BF-4-N-1_S0-0_B_17.SPA","Y",0.9,"LDPE.2","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyolefins (POLYALKENES)","POLY(ETHYLENE)","plastic",8282,4239,NA,8.282,4141,2074.641,1.01e-09,9.08e-10,1.7e-09,7.51e-10,1.27e-09,8.282,4141,2074.641,2074.641,0.008282,0.004239,0.002074641,0.350141537957113,0.002074641,998,1010,0.0120240480961924,10.1745730389892,NA,0.0150973530508728,31.3215876308157,1.43152778851375,0.0150973530508728,0.002,9.81,0.0542494239600754,0.695737942857402,0.695737942857402
"14",14,"PVC","fiber","POLY(VINYL CHLORIDE)","fiber","SDC","Low Flow","2","C","Inside Thalweg",0.24,"BF-4","SDC-BF-4-N-2","SDC-BF-4","SDC-BF-4-N-2_S0-0_A_12",12,"brown","Fiber","Black",0,"0","0",0.262,2.758,2.28,0,"Y","SDC-BF-4-N-2_S0-0_A_12.SPA","Y",0.7,"PVC.1","Moore Institute for Plastic Pollution Research","Reflectance","0","Reflectance","0","Polyhaloolefins (Vinylhalides)","POLY(VINYL CHLORIDE)","plastic",2758,2280,NA,2.758,1379,690.879,1.33e-09,1.33e-09,1.33e-09,1.33e-09,1.33e-09,2.758,1379,690.879,690.879,0.002758,0.00228,0.000690879,0.275510044950127,0.000690879,998,1330,0.332665330661323,10.2477260887042,NA,0.0472296869475185,32.6299988886146,1.34768112084299,0.0472296869475185,0.002,9.81,0.0686206965863798,1.72067937579392,1.72067937579392
