"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1",1,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_2","2","black","Non-Fiber","Black",0,"0","done",0.45,1.418,0.715,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,715,14.18,715,364.59,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,141.8,1418,779.9,364.59,0.001418,0.000715,0.00036459,0.362087569996869,0.000717676967230392,998,1200,0.202404809619238,9.02039634394776,4.6,0.0244037050290618,17.5139770144422,3.19040668494379,0.0244037050290618,0.002,9.81,0.0615358432135288,0.991442700491694,0.991442700491694
"2",2,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_11","11","black","Non-Fiber","Black",0,"0","done",2.172,4.33,2.213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330,2213,43.3,4330,2186.65,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,433,4330,2381.5,2186.65,0.00433,0.002213,0.00218665,0.706390124920805,0.0027568694125182,998,1200,0.202404809619238,34.6507633725374,4.6,0.106950819827844,294.849443827127,0.638082055152378,0.106950819827844,0.002,9.81,0.0615358432135288,4.34506192824585,4.34506192824585
"3",3,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_A_18","18","black","Non-Fiber","Black",0,"hard texture.","done",0.558,1.189,0.796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,796,11.89,1189,600.445,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,118.9,1189,653.95,600.445,0.001189,0.000796,0.000600445,0.617199792750171,0.000828303287448193,998,1200,0.202404809619238,10.4108453899692,4.6,0.0376904533617878,31.2191264249816,1.54367273788376,0.0376904533617878,0.002,9.81,0.0626418390534633,1.50420445549259,1.50420445549259
"4",4,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_A_7","7","black","Non-Fiber","Black",0,"rubbery texture, bounces back slowly.","done",2.356,2.885,1.876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2885,1876,28.85,2885,1456.925,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,288.5,2885,1586.75,1456.925,0.002885,0.001876,0.001456925,0.626250188854672,0.0019903919920459,998,1200,0.202404809619238,25.0169999426915,4.6,0.076669742549493,152.602841602732,0.896435770748889,0.076669742549493,0.002,9.81,0.0615358432135288,3.11484082063561,3.11484082063561
"5",5,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_14","14","black","Non-Fiber","Black",0,"0","0",0.156,0.81,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,313,8.1,313,160.55,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,81,810,445.5,160.55,0.00081,0.000313,0.00016055,0.318856762131883,0.00034399058446151,998,1200,0.202404809619238,4.32357669552036,4.6,0.0125550663975651,4.31882462805148,5.77746203003282,0.0125550663975651,0.002,9.81,0.0615358432135288,0.510071274801547,0.510071274801547
"6",6,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_15","15","black","Non-Fiber","Black",0,"0","0",0.208,1.617,0.283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617,283,16.17,283,149.585,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,161.7,1617,889.35,149.585,0.001617,0.000283,0.000149585,0.221126004136567,0.000409067365423938,998,1200,0.202404809619238,5.14151900643882,4.6,0.0115782826736703,4.73629758945192,8.07858147480737,0.0115782826736703,0.002,9.81,0.0615358432135288,0.470387747572328,0.470387747572328
"7",7,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_15","15","black","Non-Fiber","Black",0,"0","0",0.271,1.636,0.517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1636,517,16.36,517,266.68,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,163.6,1636,899.8,266.68,0.001636,0.000517,0.00026668,0.289970304916061,0.00060872540826102,998,1200,0.202404809619238,7.65099717263614,4.6,0.0187229229172208,11.3971188966249,4.597298500097,0.0187229229172208,0.002,9.81,0.0626418390534633,0.747221154428482,0.747221154428482
"8",8,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_19","19","black","Non-Fiber","Black",0,"0","0",0.094,0.494,0.356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,356,4.94,494,249.47,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,49.4,494,271.7,249.47,0.000494,0.000356,0.00024947,0.594880665022807,0.000352694286752449,998,1200,0.202404809619238,4.43297249322442,4.6,0.0186209160577767,6.56749070767479,2.69292905515223,0.0186209160577767,0.002,9.81,0.0626418390534633,0.743150118959798,0.743150118959798
"9",9,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_20","20","black","Non-Fiber","Black",0,"0","0",0.46,1.073,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,700,10.73,1073,541.865,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,107.3,1073,590.15,541.865,0.001073,7e-04,0.000541865,0.625233470678868,0.000741076350326491,998,1200,0.202404809619238,9.31450040380806,4.6,0.0347488218979524,25.7515301102798,1.62484282097068,0.0347488218979524,0.002,9.81,0.0626418390534633,1.38680562476363,1.38680562476363
"10",10,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_B_8","8","black","Non-Fiber","Black",0,"0","0",0.056,0.447,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,330,4.47,447,225.735,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,44.7,447,245.85,225.735,0.000447,0.00033,0.000225735,0.587743953218963,0.000321716588485619,998,1200,0.202404809619238,4.04361749236883,4.6,0.0171757636824393,5.52572809654957,2.88715376759185,0.0171757636824393,0.002,9.81,0.0615358432135288,0.697795089231148,0.697795089231148
