"","X","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1",1,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_2","2","black","Non-Fiber","Black",0,"0","done",0.45,1.418,0.715,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,715,14.18,715,364.59,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,141.8,1418,779.9,364.59,0.001418,0.000715,0.00036459,0.362087569996869,0.000717676967230392,998,1450,0.452905811623247,11.7983509041973,4.6,0.0395665338311543,28.3959900037616,2.71574277963471,0.0395665338311543,0.002,9.81,0.0615358432135288,1.60745883069558,1.60745883069558
"2",2,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_A_11","11","black","Non-Fiber","Black",0,"0","done",2.172,4.33,2.213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330,2213,43.3,4330,2186.65,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,433,4330,2381.5,2186.65,0.00433,0.002213,0.00218665,0.706390124920805,0.0027568694125182,998,1450,0.452905811623247,45.321940386999,4.6,0.173402900336185,478.049151978771,0.54314916724326,0.173402900336185,0.002,9.81,0.0615358432135288,7.04479256644288,7.04479256644288
"3",3,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_A_18","18","black","Non-Fiber","Black",0,"hard texture.","done",0.558,1.189,0.796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,796,11.89,1189,600.445,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,118.9,1189,653.95,600.445,0.001189,0.000796,0.000600445,0.617199792750171,0.000828303287448193,998,1450,0.452905811623247,13.6170077717943,4.6,0.0611087782070298,50.6166018808253,1.3140074310309,0.0611087782070298,0.002,9.81,0.0626418390534633,2.43881641768511,2.43881641768511
"4",4,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_A_7","7","black","Non-Fiber","Black",0,"rubbery texture, bounces back slowly.","done",2.356,2.885,1.876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2885,1876,28.85,2885,1456.925,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,288.5,2885,1586.75,1456.925,0.002885,0.001876,0.001456925,0.626250188854672,0.0019903919920459,998,1450,0.452905811623247,32.7213276046564,4.6,0.124307188551813,247.420032647268,0.76306540583257,0.124307188551813,0.002,9.81,0.0615358432135288,5.05019440947889,5.05019440947889
"5",5,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_14","14","black","Non-Fiber","Black",0,"0","0",0.156,0.81,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,313,8.1,313,160.55,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,81,810,445.5,160.55,0.00081,0.000313,0.00016055,0.318856762131883,0.00034399058446151,998,1450,0.452905811623247,5.65508133677354,4.6,0.0203559442625645,7.00225316414548,4.91789992376843,0.0203559442625645,0.002,9.81,0.0615358432135288,0.826995422486109,0.826995422486109
"6",6,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","1","RB","Outside Thalweg_1",0.193,"BF-1","SDC-BF-1-N-1","SDC-BF-1","SDC-BF-1-N-1_S0-0_B_15","15","black","Non-Fiber","Black",0,"0","0",0.208,1.617,0.283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617,283,16.17,283,149.585,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,161.7,1617,889.35,149.585,0.001617,0.000283,0.000149585,0.221126004136567,0.000409067365423938,998,1450,0.452905811623247,6.72492018150246,4.6,0.0187722525152999,7.67911587950661,6.87666228052848,0.0187722525152999,0.002,9.81,0.0615358432135288,0.762655207720172,0.762655207720172
"7",7,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_15","15","black","Non-Fiber","Black",0,"0","0",0.271,1.636,0.517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1636,517,16.36,517,266.68,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,163.6,1636,899.8,266.68,0.001636,0.000517,0.00026668,0.289970304916061,0.00060872540826102,998,1450,0.452905811623247,10.0072265084393,4.6,0.0303560939677032,18.4785256937,3.91331934777584,0.0303560939677032,0.002,9.81,0.0626418390534633,1.21149436328789,1.21149436328789
"8",8,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_19","19","black","Non-Fiber","Black",0,"0","0",0.094,0.494,0.356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,356,4.94,494,249.47,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,49.4,494,271.7,249.47,0.000494,0.000356,0.00024947,0.594880665022807,0.000352694286752449,998,1450,0.452905811623247,5.79816706821405,4.6,0.0301907068738009,10.6480898274075,2.29227912294418,0.0301907068738009,0.002,9.81,0.0626418390534633,1.20489385888056,1.20489385888056
"9",9,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","2","C","Inside Thalweg",0.2,"BF-1","SDC-BF-1-N-2","SDC-BF-1","SDC-BF-1-N-2_S0-0_B_20","20","black","Non-Fiber","Black",0,"0","0",0.46,1.073,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,700,10.73,1073,541.865,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,107.3,1073,590.15,541.865,0.001073,7e-04,0.000541865,0.625233470678868,0.000741076350326491,998,1450,0.452905811623247,12.1830283361274,4.6,0.0563394138546079,41.7518071989066,1.38310115130986,0.0563394138546079,0.002,9.81,0.0626418390534633,2.24847381182901,2.24847381182901
"10",10,"tire wear","rubbery fragment","tire wear","TRWP","SDC","Low Flow","3","LB","Outside Thalweg_2",0.193,"BF-1","SDC-BF-1-N-3","SDC-BF-1","SDC-BF-1-N-3_S0-0_B_8","8","black","Non-Fiber","Black",0,"0","0",0.056,0.447,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,330,4.47,447,225.735,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,44.7,447,245.85,225.735,0.000447,0.00033,0.000225735,0.587743953218963,0.000321716588485619,998,1450,0.452905811623247,5.28890486384533,4.6,0.0278476335461293,8.9590456618584,2.45760737495787,0.0278476335461293,0.002,9.81,0.0615358432135288,1.13135824959358,1.13135824959358
