"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Site.Code","Flow.Type","Loc.Code","X.Sec.Loc","Test.Group","Depth..m.","Event","Field.ID","Sample.ID","Unique.ID","Particle","Color","X1st.Order.Morph","Color.Group","Confidence....","Comment","QA_Color.Morph","Projected.SA..mm2.","length_mm","width_mm","lengthfiber_mm","OS..Y.N.","filename","Batch..Y.N.","max_cor_new","SpectrumIdentity","Organization","SpectralCollectionMode","InstrumentMode","InstrumentMode.1","library_type","polymer_class","plastic_or_not","Length..microns.","Width..microns.","Min.Projected.Height..microns.","Max.Projected.Height..microns.","Projected.Height..microns.","Density..mg.microns3.","X5..Density..mg.microns3.","X95..Density..mg.microns3.","X10..Density..mg.microns3.","X90..Density..mg.microns3.","Min.Projected.Width..microns.","Max.Projected.Width..microns.","Projected.Width..microns.","Height..microns.","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj","slope","g","shear_velocity","Rouse","Rouse_adj"
"1","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_13",13,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.498",1.178,0.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,570,11.78,570,290.89,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,117.8,1178,647.9,290.89,0.001178,0.00057,0.00029089,0.354992124704409,0.000580207020233147,998,1290,0.292585170340681,8.24562193669114,4.6,0.0253770359091774,14.7239343872134,3.44795226774093,0.0253770359091774,0.001,9.81,0.0490249936257008,1.294086650114,1.294086650114
"2","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_23",23,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, could make dents in the particle.","0","0.901",1.405,0.947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,947,14.05,1405,709.525,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,140.5,1405,772.75,709.525,0.001405,0.000947,0.000709525,0.615112497330123,0.000980990199309239,998,1290,0.292585170340681,13.9413589029876,4.6,0.0537214523126303,52.700218211349,1.30085602520827,0.0537214523126303,0.001,9.81,0.0490249936257008,2.73949307993727,2.73949307993727
"3","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_38",38,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.826,0.458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,458,8.26,826,417.13,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,82.6,826,454.3,417.13,0.000826,0.000458,0.00041713,0.678185754075215,0.000540387942584029,998,1290,0.292585170340681,7.67973243740442,4.6,0.0353522449342437,19.1039269057426,1.65474740749644,0.0353522449342437,0.001,9.81,0.0490249936257008,1.80276642176403,1.80276642176403
"4","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_A_39",39,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.204",0.874,0.468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,874,468,8.74,874,441.37,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,87.4,874,480.7,441.37,0.000874,0.000468,0.00044137,0.690119291682342,0.000565179887732961,998,1290,0.292585170340681,8.03206358757066,4.6,0.0370294395936472,20.928294512352,1.57743863717734,0.0370294395936472,0.001,9.81,0.0490249936257008,1.88829395248687,1.88829395248687
"5","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_6",6,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.096",0.572,0.374,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,374,5.72,572,288.86,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,57.2,572,314.6,288.86,0.000572,0.000374,0.00028886,0.624530411824851,0.000395352976326789,998,1290,0.292585170340681,5.61856554756326,4.6,0.0262037498354863,10.3597304883821,2.20352599147807,0.0262037498354863,0.001,9.81,0.0490249936257008,1.33624442848215,1.33624442848215
"6","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_8",8,"black","Non-Fiber","Black",0,"rubbery texture, bounces back, breaks apart easily.","done","0.093",0.568,0.231,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568,231,5.68,231,118.34,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,56.8,568,312.4,118.34,0.000568,0.000231,0.00011834,0.326701709626288,0.000249477065427074,998,1290,0.292585170340681,3.54544755863209,4.6,0.0122901908068888,3.06612073604142,6.32082010472844,0.0122901908068888,0.001,9.81,0.0490249936257008,0.626730872252773,0.626730872252773
"7","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_11",11,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.236",0.94,0.37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940,370,9.4,370,189.7,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,94,940,517,189.7,0.00094,0.00037,0.0001897,0.321664062078222,0.000404078400299461,998,1290,0.292585170340681,5.74256705876023,4.6,0.017908421758679,7.23640641613506,4.82182076227152,0.017908421758679,0.001,9.81,0.0490249936257008,0.913229173235971,0.913229173235971
"8","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_12",12,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.461",1.138,0.615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1138,615,11.38,1138,574.69,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,113.8,1138,625.9,574.69,0.001138,0.000615,0.00057469,0.686949720648598,0.000738159714002767,998,1290,0.292585170340681,10.49036933079,4.6,0.0457212949078014,33.7496179729789,1.35136712555059,0.0457212949078014,0.001,9.81,0.0490249936257008,2.33152987519373,2.33152987519373
"9","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_14",14,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","3.857",2.92,1.838,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,1838,29.2,2920,1474.6,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,292,2920,1606,1474.6,0.00292,0.001838,0.0014746,0.636517063171427,0.00199281750475874,998,1290,0.292585170340681,28.3209598643909,4.6,0.0966725853699551,192.650820355531,0.816057793703367,0.0966725853699551,0.001,9.81,0.0490249936257008,4.92976022128821,4.92976022128821
"10","tire wear","rubbery fragment","tire wear","TRWP","SAD","Low Flow","1","RB","Outside Thalweg_1",0.245,"DF-1","SAD-DF-1-N-1","SAD-DF-1","SAD-DF-1-N-1_S0-0_B_15",15,"black","Non-Fiber","Black",0,"rubbery texture, bounces back.","0","0.109",0.463,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,358,4.63,463,233.815,1.45e-09,1.2e-09,1.7e-09,1.29e-09,1.61e-09,46.3,463,254.65,233.815,0.000463,0.000358,0.000233815,0.574302041782485,0.000338411772201157,998,1290,0.292585170340681,4.80934465662808,4.6,0.0220030996505407,7.44610794665813,2.67508622550187,0.0220030996505407,0.001,9.81,0.0490249936257008,1.12203480425369,1.12203480425369
