X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_9,9,pink,Fiber,Red,0.004444,0.000528,0.000266222,0.173796071,0.000266222,1450,0.02694882,1.094842387,1440,0.026573627,1.079599544,1460,0.0273208,1.109954714
2,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_12,12,black,Fiber,Black,0.001909,0.000693,0.000478205,0.415761315,0.000478205,1450,0.040700358,1.653522413,1440,0.040164527,1.631753352,1460,0.041231135,1.675086124
3,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_22,22,blue,Fiber,Blue,0.001508,0.00083,0.000377754,0.337652022,0.000377754,1450,0.034468174,1.400329169,1440,0.034005059,1.381514311,1460,0.034927057,1.418972061
4,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_27,27,blue,Fiber,Blue,0.004107,0.000895,0.000449554,0.234480923,0.000449554,1450,0.041082982,1.669067163,1440,0.040530724,1.64663073,1460,0.041630196,1.691298691
5,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_A_4,4,green,Fiber,Green,0.00894,0.002366,0.00223947,0.486932901,0.00223947,1010,0.015322702,0.61152028,751,-0.069540905,-2.77533779,1270,0.087921972,3.508915679
6,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_B_20,20,black,Fiber,Black,0.002088,0.000371,0.000186544,0.211947883,0.000186544,1000,0.000574446,0.023337875,999,0.00036342,0.014764579,1000,0.000574446,0.023337875
7,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_31,31,gray,Fiber,Black,0.00314,0.000987,0.00078657,0.446800837,0.00078657,1000,0.002206103,0.089626751,999,0.001419457,0.057667901,1000,0.002206103,0.089626751
8,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_A_13,13,red,Fiber,Red,0.002078,0.00019,9.60E-05,0.152843881,9.60E-05,1000,0.000299226,0.011795417,999,0.000188861,0.007444839,1000,0.000299226,0.011795417
9,Polyesters,fiber,POLYESTERS,fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_A_3,3,black,Fiber,Black,0.002532,0.000555,0.000278766,0.235158922,0.000278766,1010,0.002733046,0.125948148,751,-0.012407621,-0.571785845,1270,0.020045421,0.923761922
10,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_A_7,7,black,Fiber,Black,0.001998,0.000501,0.000500499,0.500249438,0.000500499,1450,0.041261396,1.901467033,1440,0.040722786,1.876646027,1460,0.041794864,1.926051044
11,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_13,13,blue,Fiber,Blue,0.002741,0.000638,0.000320371,0.242263319,0.000320371,1000,0.00097013,0.044706948,999,0.000615756,0.028376172,1000,0.00097013,0.044706948
12,Polyesters,fiber,POLYESTERS,fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_15,15,red,Fiber,Red,0.002053,0.000523,0.000514277,0.496308097,0.000514277,1010,0.004647569,0.214175973,751,-0.021097282,-0.97223531,1270,0.031254452,1.440312634
13,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_17,17,gray,Fiber,Black,0.008282,0.004239,0.002074641,0.350141538,0.002074641,1010,0.015097353,0.695737943,751,-0.068520812,-3.157674641,1270,0.088795445,4.091999423
14,PVC,fiber,POLY(VINYL CHLORIDE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_12,12,brown,Fiber,Black,0.002758,0.00228,0.000690879,0.275510045,0.000690879,1330,0.047229687,1.720679376,1330,0.047229687,1.720679376,1330,0.047229687,1.720679376
15,PVC,fiber,POLY(VINYL CHLORIDE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_13,13,brown,Fiber,Black,0.007497,0.000727,0.000367249,0.15730737,0.000367249,1330,0.029617425,1.079026695,1330,0.029617425,1.079026695,1330,0.029617425,1.079026695
16,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_18,18,black,Fiber,Black,0.001565,4.00E-04,0.000392033,0.495490013,0.000392033,1450,0.034180279,1.24526131,1440,0.033727231,1.228755796,1460,0.034629097,1.261612686
17,PET,fiber bundle,POLY(ETHYLENE TEREPHTHALATE),fiber bundle,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_26,26,black,Fiber,Black,0.00065,0.000396,3.28E-05,0.064699431,3.28E-05,1450,0.003782226,0.137794666,1440,0.003726577,0.135767234,1460,0.003837459,0.139806926
18,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_28,28,brown,Fiber,Black,0.002152,0.000183,9.26E-05,0.147520282,9.26E-05,1010,0.000946135,0.034469737,751,-0.004295551,-0.156496179,1270,0.007371399,0.268555984
19,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_29,29,red,Fiber,Red,0.012785,0.001362,0.000687393,0.16472741,0.000687393,1450,0.059793356,2.178400924,1440,0.05900134,2.149546087,1460,0.060577967,2.206986027
20,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.24,BF-4,SDC-BF-4-N-2,SDC-BF-4,SDC-BF-4-N-2_S0-0_A_35,35,brown,Fiber,Black,0.004514,0.000466,0.000235257,0.162206711,0.000235257,1450,0.024246276,0.883344136,1440,0.023906379,0.870960948,1460,0.024583304,0.895622803
