X,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
1,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_2,2,black,Non-Fiber,Black,0.001418,0.000715,0.00036459,0.36208757,0.000717677,1450,0.039566534,1.607458831,1290,0.030442103,1.236763071,1610,0.04745651,1.92800276
2,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_11,11,black,Non-Fiber,Black,0.00433,0.002213,0.00218665,0.706390125,0.002756869,1450,0.1734029,7.044792566,1290,0.133414492,5.420194358,1610,0.207981234,8.449597123
3,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_A_18,18,black,Non-Fiber,Black,0.001189,0.000796,0.000600445,0.617199793,0.000828303,1450,0.061108778,2.438816418,1290,0.047016495,1.87640145,1610,0.073294501,2.925141655
4,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_A_7,7,black,Non-Fiber,Black,0.002885,0.001876,0.001456925,0.626250189,0.001990392,1450,0.124307189,5.050194409,1290,0.095640733,3.885570084,1610,0.149095329,6.057255448
5,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_B_14,14,black,Non-Fiber,Black,0.00081,0.000313,0.00016055,0.318856762,0.000343991,1450,0.020355944,0.826995422,1290,0.015661664,0.636282173,1610,0.02441513,0.99190687
6,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_B_15,15,black,Non-Fiber,Black,0.001617,0.000283,0.000149585,0.221126004,0.000409067,1450,0.018772253,0.762655208,1290,0.014443187,0.586779442,1610,0.022515634,0.91473655
7,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_B_15,15,black,Non-Fiber,Black,0.001636,0.000517,0.00026668,0.289970305,0.000608725,1450,0.030356094,1.211494363,1290,0.023355681,0.93211189,1610,0.036409413,1.453078879
8,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_B_19,19,black,Non-Fiber,Black,0.000494,0.000356,0.00024947,0.594880665,0.000352694,1450,0.030190707,1.204893859,1290,0.023228434,0.927033527,1610,0.036211046,1.445162166
9,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_B_20,20,black,Non-Fiber,Black,0.001073,7.00E-04,0.000541865,0.625233471,0.000741076,1450,0.056339414,2.248473812,1290,0.043346993,1.729953715,1610,0.067574076,2.696842763
10,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_8,8,black,Non-Fiber,Black,0.000447,0.00033,0.000225735,0.587743953,0.000321717,1450,0.027847634,1.13135825,1290,0.021425696,0.870455949,1610,0.03340074,1.356962795
11,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_30,30,black,Non-Fiber,Black,0.000885,0.000608,0.000446925,0.609272005,0.000621862,1450,0.048210144,1.958620442,1290,0.037092412,1.506943373,1610,0.057823746,2.349189632
12,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_34,34,black,Non-Fiber,Black,0.000545,0.000358,0.000275225,0.623086176,0.000377273,1450,0.032760471,1.330950778,1290,0.025205586,1.024020484,1610,0.039293248,1.596356139
13,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_54,54,black,Non-Fiber,Black,0.002482,0.00061,0.00031741,0.257961444,0.000783281,1450,0.034622899,1.406615136,1290,0.026638519,1.0822359,1610,0.041527064,1.687108753
14,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_56,56,black,Non-Fiber,Black,0.000481,0.000376,0.000242905,0.571176057,0.00035285,1450,0.029473415,1.197408432,1290,0.022676557,0.921274313,1610,0.035350719,1.436184068
15,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_C_1,1,black,Non-Fiber,Black,0.00087,0.00052,0.00043935,0.653204748,0.000583594,1450,0.047776583,1.941006288,1290,0.036758835,1.493391216,1610,0.057303729,2.328063033
