,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
1,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,3,LB,Outside Thalweg_2,0.24,DF-1,SAD-DF-1-N-3,SAD-DF-1,SAD-DF-1-N-3_S0-0_A_9,9,black,Fiber,Black,0,0,0,0.06,0.919,0.361,0,Y,SAD-DF-1-N-3_S0-0_A_9.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,919,361,NA,0.919,459.5,230.2095,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,0.919,459.5,230.2095
2,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.18,DF-2,SAD-DF-2-N-1,SAD-DF-2,SAD-DF-2-N-1_S0-0_A_6,6,black,Fiber,Black,0,0,0,0.024,0.593,0.19,0,Y,SAD-DF-2-N-1_S0-0_A_6.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,593,190,NA,0.593,296.5,148.5465,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,0.593,296.5,148.5465
3,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,2,C,Inside Thalweg,0.195,DF-2,SAD-DF-2-N-2,SAD-DF-2,SAD-DF-2-N-2_S0-0_A_4,4,black,Fiber,Black,0,0,0,0.072,1.582,0.456,0,Y,SAD-DF-2-N-2_S0-0_A_4.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1582,456,NA,1.582,791,396.291,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.582,791,396.291
4,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,3,LB,Outside Thalweg_2,0.17,DF-2,SAD-DF-2-N-3,SAD-DF-2,SAD-DF-2-N-3_S0-0_A_15,15,blue,Fiber,Blue,0,0,0,0.0001264,1.273,0.138,1.273,Y,SAD-DF-2-N-3_S0-0_A_15.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1273,138,NA,1.273,138,69.6365,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.273,636.5,318.8865
5,Polyesters,fiber,POLYESTERS,fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_4,4,red,Fiber,Red,0,0,done,0.015,1.7,0.415,1.7,Y,SAD-BF-4-N-1_S0-0_A_4.SPA,Y,0.8,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1700,415,NA,1.7,415,208.35,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.7,850,425.85
6,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_7,7,black,Fiber,Black,0,0,done,0.021,2.227,0.428,2.227,Y,SAD-BF-4-N-1_S0-0_A_7.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,2227,428,NA,2.227,428,215.1135,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,2.227,1113.5,557.8635
7,polystyrene,fiber,POLYSTYRENE,fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_8,8,blue,Fiber,Blue,0,0,done,0.019,2.115,0.332,2.115,Y,SAD-BF-4-N-1_S0-0_A_8.SPA,Y,0.7,EPS,HPU Polymer Kit 1.0,0,0,0,Polymers,"POLYSTYRENES (POLYPHENYLETHYLENES, Î±-Methylstyrene)",POLYSTYRENE,plastic,2115,332,NA,2.115,332,167.0575,1.05E-09,1.05E-09,1.05E-09,1.05E-09,1.05E-09,2.115,1057.5,529.8075
8,Polyesters,fiber,POLYESTERS,fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_9,9,blue,Fiber,Blue,0,0,done,0.013,1.396,0.292,1.396,Y,SAD-BF-4-N-1_S0-0_A_9.SPA,Y,0.8,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,1396,292,NA,1.396,292,146.698,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.396,698,349.698
9,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_11,11,clear,Fiber,Transparent,0,0,done,0.018,1.956,0.361,1.956,Y,SAD-BF-4-N-1_S0-0_A_11.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1956,361,NA,1.956,361,181.478,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.956,978,489.978
10,PE,fiber,POLY(ETHYLENE),fiber,SAD,Low Flow,1,RB,Outside Thalweg_1,0.11,BF-4,SAD-BF-4-N-1,SAD-BF-4,SAD-BF-4-N-1_S0-0_A_16,16,green,Fiber,Green,0,0,done,0.012,1.251,0.298,1.251,Y,SAD-BF-4-N-1_S0-0_A_16.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,1251,298,NA,1.251,298,149.6255,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,1.251,625.5,313.3755
