Material,Morphology,Material (Raw Data),Morphology (Raw Data),Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,plastic_or_not,Length (microns),Width (microns),Min Projected Height (microns),Max Projected Height (microns),Projected Height (microns),Density (mg/microns3),5% Density (mg/microns3),95% Density (mg/microns3),10% Density (mg/microns3),90% Density (mg/microns3),Min Projected Width (microns),Max Projected Width (microns),Projected Width (microns)
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_2,2,black,Non-Fiber,Black,0,0,done,0.45,1.418,0.715,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1418,715,14.18,715,364.59,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,141.8,1418,779.9
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_11,11,black,Non-Fiber,Black,0,0,done,2.172,4.33,2.213,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4330,2213,43.3,4330,2186.65,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,433,4330,2381.5
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_A_18,18,black,Non-Fiber,Black,0,hard texture.,done,0.558,1.189,0.796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,796,11.89,1189,600.445,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,118.9,1189,653.95
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_A_7,7,black,Non-Fiber,Black,0,"rubbery texture, bounces back slowly.",done,2.356,2.885,1.876,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2885,1876,28.85,2885,1456.925,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,288.5,2885,1586.75
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_B_14,14,black,Non-Fiber,Black,0,0,0,0.156,0.81,0.313,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810,313,8.1,313,160.55,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,81,810,445.5
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_B_15,15,black,Non-Fiber,Black,0,0,0,0.208,1.617,0.283,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1617,283,16.17,283,149.585,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,161.7,1617,889.35
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_B_15,15,black,Non-Fiber,Black,0,0,0,0.271,1.636,0.517,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1636,517,16.36,517,266.68,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,163.6,1636,899.8
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_B_19,19,black,Non-Fiber,Black,0,0,0,0.094,0.494,0.356,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494,356,4.94,494,249.47,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,49.4,494,271.7
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_B_20,20,black,Non-Fiber,Black,0,0,0,0.46,1.073,0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1073,700,10.73,1073,541.865,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,107.3,1073,590.15
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_8,8,black,Non-Fiber,Black,0,0,0,0.056,0.447,0.33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,330,4.47,447,225.735,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,44.7,447,245.85
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_30,30,black,Non-Fiber,Black,0,0,0,0.133,0.885,0.608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885,608,8.85,885,446.925,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,88.5,885,486.75
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_34,34,black,Non-Fiber,Black,0,0,0,0.046,0.545,0.358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,358,5.45,545,275.225,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,54.5,545,299.75
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_54,54,black,Non-Fiber,Black,0,0,0,0.961,2.482,0.61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482,610,24.82,610,317.41,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,248.2,2482,1365.1
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_56,56,black,Non-Fiber,Black,0,0,0,0.114,0.481,0.376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,376,4.81,481,242.905,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,48.1,481,264.55
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_C_1,1,black,Non-Fiber,Black,0,0,0,0.256,0.87,0.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,520,8.7,870,439.35,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,87,870,478.5
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_32,32,black,Non-Fiber,Black,0,"rubbery texture, bounces back.",done,0.077,0.754,0.336,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754,336,7.54,336,171.77,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,75.4,754,414.7
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_B_44,44,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.082,0.708,0.368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,368,7.08,708,357.54,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,70.8,708,389.4
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_21,21,black,Non-Fiber,Black,0,"bounces back, could make dents.",done,0.256,1.12,0.464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,464,11.2,464,237.6,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,112,1120,616
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_C_44,44,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.107,0.55,0.366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,366,5.5,550,277.75,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,55,550,302.5
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_3,3,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.118,0.662,0.436,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,436,6.62,662,334.31,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,66.2,662,364.1
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.23,BF-2,SDC-BF-2-N-1,SDC-BF-2,SDC-BF-2-N-1_S0-0_D_4,4,black,Non-Fiber,Black,0,"rubbery texture, bounces back, could make dents.",done,0.09,1.011,0.652,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,652,10.11,1011,510.555,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,101.1,1011,556.05
tire wear,rubbery fragment,tire wear,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.32,BF-2,SDC-BF-2-N-2,SDC-BF-2,SDC-BF-2-N-2_S0-0_A_5,5,black,Non-Fiber,Black,0,rubbery texture.,done,0.296,1.04,0.677,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040,677,10.4,1040,525.2,1.45E-09,1.20E-09,1.70E-09,1.29E-09,1.61E-09,104,1040,572
