,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,Confidence....,Comment,QA_Color.Morph,Projected.SA..mm2.,length_mm,width_mm,lengthfiber_mm,OS..Y.N.,filename,Batch..Y.N.,max_cor_new,SpectrumIdentity,Organization,SpectralCollectionMode,InstrumentMode,InstrumentMode.1,library_type,polymer_class,polymer,plastic_or_not,Length..microns.,Width..microns.,material.1,Min.Projected.Height..microns.,Max.Projected.Height..microns.,Projected.Height..microns.,Density..mg.microns3.,X5..Density..mg.microns3.,X95..Density..mg.microns3.,X10..Density..mg.microns3.,X90..Density..mg.microns3.,Min.Projected.Width..microns.,Max.Projected.Width..microns.,Projected.Width..microns.
1,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_9,9,pink,Fiber,Red,0,0,done,0.0003004,4.444,0.528,4.444,Y,SDC-BF-1-N-1_A_9.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,4444,528,NA,4.444,528,266.222,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,4.444,2222,1113.222
2,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_12,12,black,Fiber,Black,0,0,done,0.11,1.909,0.693,0,Y,SDC-BF-1-N-1_A_12.SPA,Y,0.9,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1909,693,NA,1.909,954.5,478.2045,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.909,954.5,478.2045
3,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_22,22,blue,Fiber,Blue,0,0,done,0.123,1.508,0.83,0,Y,SDC-BF-1-N-1_A_22.SPA,Y,0.8,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1508,830,NA,1.508,754,377.754,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.508,754,377.754
4,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_A_27,27,blue,Fiber,Blue,0,0,done,0.162,4.107,0.895,0,Y,SDC-BF-1-N-1_A_27.SPA,Y,1,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,4107,895,NA,4.107,895,449.5535,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,4.107,2053.5,1028.8035
5,PE,fiber,POLY(ETHYLENE),fiber,SDC,Low Flow,2,C,Inside Thalweg,0.2,BF-1,SDC-BF-1-N-2,SDC-BF-1,SDC-BF-1-N-2_S0-0_A_4,4,green,Fiber,Green,0,0,done,0.0006008,8.94,2.366,8.94,Y,SDC-BF-1-N-2_A_4.SPA,Y,0.9,LDPE.2,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyolefins (POLYALKENES),POLY(ETHYLENE),plastic,8940,2366,NA,8.94,4470,2239.47,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,8.94,4470,2239.47
6,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.193,BF-1,SDC-BF-1-N-1,SDC-BF-1,SDC-BF-1-N-1_S0-0_B_20,20,black,Fiber,Black,0,0,done,0.0001888,2.088,0.371,2.088,Y,SDC-BF-1-N-1_B_20.SPA,Y,0.9,PP 8. White Toothbrush Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,2088,371,NA,2.088,371,186.544,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,2.088,1044,523.044
7,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.193,BF-1,SDC-BF-1-N-3,SDC-BF-1,SDC-BF-1-N-3_S0-0_B_31,31,gray,Fiber,Black,0,0,done,0.188,3.14,0.987,0,Y,SDC-BF-1-N-3_B_31.SPA,Y,0.9,PP 19. White Fiber,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,3140,987,NA,3.14,1570,786.57,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,3.14,1570,786.57
8,PP,fiber,POLY(PROPYLENE),fiber,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_A_13,13,red,Fiber,Red,0,0,done,0.178,2.078,0.19,0,Y,SDC-BF-3-N-3_A_13.SPA,Y,0.9,PP 48. Brown Fragment,"FLOPP, De Frond et al. 2021",0,TRANSMITTANCE,0,Polymers,Polyolefins (POLYALKENES),POLY(PROPYLENE),plastic,2078,190,NA,2.078,190,96.039,1.00E-09,9.98E-10,1.00E-09,9.99E-10,1.00E-09,2.078,1039,520.539
9,Polyesters,fiber,POLYESTERS,fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_A_3,3,black,Fiber,Black,0,0,0,0.024,2.532,0.555,2.532,Y,SDC-BF-4-N-1_S0-0_A_3.SPA,Y,0.7,PEST,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,POLYESTERS,0,plastic,2532,555,NA,2.532,555,278.766,1.01E-09,9.08E-10,1.70E-09,7.51E-10,1.27E-09,2.532,1266,634.266
10,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_A_7,7,black,Fiber,Black,0,0,0,0.018,1.998,0.501,1.998,Y,SDC-BF-4-N-1_S0-0_A_7.SPA,Y,0.7,PET.1,Moore Institute for Plastic Pollution Research,Reflectance,0,Reflectance,0,Polyterephthalates,POLY(ETHYLENE TEREPHTHALATE),plastic,1998,501,NA,1.998,999,500.499,1.45E-09,1.44E-09,1.46E-09,1.44E-09,1.46E-09,1.998,999,500.499
